2024-07-10 17:58:38\t500\tGET /api/v1/summoners/search?q=%ED%83%80+%EC%9E%94-KR1&region=kr HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36\thttp://localhost:5173/search?q=%25ED%2583%2580%2520%25EC%259E%2594-KR1&region=kr\t0:0:0:0:0:0:0:1\t135
2024-07-10 17:59:41\t200\tGET /api/v1/summoners/search?q=hide+on+bush-KR1&region=kr HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36\thttp://localhost:5173/search?q=hide%2520on%2520bush-KR1&region=kr\t0:0:0:0:0:0:0:1\t399
2024-07-10 17:59:44\t200\tGET /api/v1/summoners/kr/Hide%20on%20bush-KR1 HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36\thttp://localhost:5173/summoner/kr/Hide%20on%20bush-KR1\t0:0:0:0:0:0:0:1\t397
2024-07-10 17:59:44\t200\tGET /api/v1/leagues/by-summoner/dT2F44sROzMZ-57hE2dE4K-_r6dQTf-4JbziRgnttrGw-A HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36\thttp://localhost:5173/summoner/kr/Hide%20on%20bush-KR1\t0:0:0:0:0:0:0:1\t159
2024-07-10 17:59:44\t200\tGET /api/v1/rank/champions?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&season=23&platform=kr HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36\thttp://localhost:5173/summoner/kr/Hide%20on%20bush-KR1\t0:0:0:0:0:0:0:1\t943
2024-07-10 17:59:44\t200\tGET /api/v1/matches?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&pageNo=0&platform=kr HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36\thttp://localhost:5173/summoner/kr/Hide%20on%20bush-KR1\t0:0:0:0:0:0:0:1\t341567
2024-07-10 17:59:49\t200\tGET /api/v1/summoners/renewal?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36\thttp://localhost:5173/summoner/kr/Hide%20on%20bush-KR1\t0:0:0:0:0:0:0:1\t14
2024-07-10 17:59:49\t200\tGET /api/v1/summoners/kr/Hide%20on%20bush-KR1 HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36\thttp://localhost:5173/summoner/kr/Hide%20on%20bush-KR1\t0:0:0:0:0:0:0:1\t404
2024-07-10 17:59:49\t200\tGET /api/v1/rank/champions?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&season=23&platform=kr HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36\thttp://localhost:5173/summoner/kr/Hide%20on%20bush-KR1\t0:0:0:0:0:0:0:1\t943
2024-07-10 17:59:49\t200\tGET /api/v1/leagues/by-summoner/dT2F44sROzMZ-57hE2dE4K-_r6dQTf-4JbziRgnttrGw-A HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36\thttp://localhost:5173/summoner/kr/Hide%20on%20bush-KR1\t0:0:0:0:0:0:0:1\t295
2024-07-10 17:59:49\t200\tGET /api/v1/matches?puuid=G4HjnUX5quA2Oopg9qtnEbqJEOBM0ALSxKh3S6jU2G42CSPdqyCvFwTN04-l24k0mKwNrqOhjrfP_g&pageNo=0&platform=kr HTTP/1.1\tMozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36\thttp://localhost:5173/summoner/kr/Hide%20on%20bush-KR1\t0:0:0:0:0:0:0:1\t341567
