2024-07-15 23:32:23 200 [GET /api/v1/rank?platform=kr&type=SOLO&page=1 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/rank?pageNo=1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 2474]
2024-07-15 23:32:37 200 [GET /api/v1/summoners/KR/Blue-KR33 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/KR/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 405]
2024-07-15 23:32:37 200 [GET /api/v1/rank/champions?puuid=xg4--nwFr5exmYqoiW0Vt6s_a9NTpR80XgeeKyDogwTuMsqzGzchCwE0z3UfRNWZGCEPM8DCiSY6vA&season=23&platform=KR HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/KR/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 807]
2024-07-15 23:32:37 200 [GET /api/v1/leagues/by-summoner/7Nx_4o5-DPJZ2fxLS5zblNkYQ3TZ2kCHN__ghOONlEgBPas HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/KR/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 166]
2024-07-15 23:32:38 200 [GET /api/v1/matches?puuid=xg4--nwFr5exmYqoiW0Vt6s_a9NTpR80XgeeKyDogwTuMsqzGzchCwE0z3UfRNWZGCEPM8DCiSY6vA&pageNo=0&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/KR/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 309546]
2024-07-15 23:32:51 200 [GET /api/v1/summoners/kr/Blue-KR33 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 405]
2024-07-15 23:32:51 200 [GET /api/v1/rank/champions?puuid=xg4--nwFr5exmYqoiW0Vt6s_a9NTpR80XgeeKyDogwTuMsqzGzchCwE0z3UfRNWZGCEPM8DCiSY6vA&season=23&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 807]
2024-07-15 23:32:51 200 [GET /api/v1/leagues/by-summoner/7Nx_4o5-DPJZ2fxLS5zblNkYQ3TZ2kCHN__ghOONlEgBPas HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 166]
2024-07-15 23:32:52 200 [GET /api/v1/matches?puuid=xg4--nwFr5exmYqoiW0Vt6s_a9NTpR80XgeeKyDogwTuMsqzGzchCwE0z3UfRNWZGCEPM8DCiSY6vA&pageNo=0&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 309546]
2024-07-15 23:32:53 200 [GET /api/v1/summoners/kr/Blue-KR33 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 405]
2024-07-15 23:32:53 200 [GET /api/v1/rank/champions?puuid=xg4--nwFr5exmYqoiW0Vt6s_a9NTpR80XgeeKyDogwTuMsqzGzchCwE0z3UfRNWZGCEPM8DCiSY6vA&season=23&platform=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/summoner/kr/Blue-KR33] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 807]
