2024-07-16 00:02:41 200 [GET /api/v1/summoners/autocomplete?q=%ED%83%80&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 12]
2024-07-16 00:02:43 200 [GET /api/v1/summoners/autocomplete?q=&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 12]
2024-07-16 00:02:46 200 [GET /api/v1/rank?platform=kr&type=SOLO&page=1 HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/rank?pageNo=1] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 2473]
2024-07-16 00:02:54 200 [GET /api/v1/summoners/autocomplete?q=%ED%83%80%EC%9E%94&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 12]
2024-07-16 00:02:57 200 [GET /api/v1/summoners/autocomplete?q=%ED%83%80+%EC%9E%94&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 12]
2024-07-16 00:02:59 200 [GET /api/v1/summoners/autocomplete?q=%ED%83%80&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 12]
2024-07-16 00:03:03 200 [GET /api/v1/summoners/autocomplete?q=&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 12]
2024-07-16 00:04:19 200 [GET /api/v1/summoners/autocomplete?q=%ED%83%80&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 12]
2024-07-16 00:04:21 200 [GET /api/v1/summoners/autocomplete?q=&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 12]
2024-07-16 00:05:18 200 [GET /api/v1/summoners/autocomplete?q=&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 12]
2024-07-16 00:05:18 200 [GET /api/v1/summoners/autocomplete?q=%ED%83%80&region=kr HTTP/1.1: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 http://localhost:5173/] [Remote Host: 0:0:0:0:0:0:0:1] [Size: 12]
